数据挖掘专家(J180117010),30,50,北京,5,10,本科,全职
数据挖掘开发工程师,20,40,北京,3,5,本科,全职
数据挖掘,20,40,北京,10,0,,全职
高级数据挖掘工程师(上海),20,35,上海,3,5,本科,全职
数据挖掘工程师,20,40,北京,3,5,硕士,全职
PTBU-数据挖掘工程师,25,40,广州,5,10,本科,全职
数据挖掘工程师/专家,20,40,成都,3,5,本科,全职
数据挖掘工程师/算法工程师,15,25,杭州,3,5,本科,全职
数据挖掘工程师,15,20,上海,1,3,本科,全职
数据挖掘经理,15,30,北京,5,10,本科,全职
数据挖掘专家,20,35,杭州,3,5,硕士,全职
数据挖掘工程师,15,30,北京,1,3,硕士,全职
数据挖掘工程师--南京,15,30,南京,3,5,本科,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘工程师,30,50,北京,3,5,硕士,全职
数据挖掘工程师,25,35,上海,1,3,本科,全职
数据挖掘工程师,25,50,北京,3,5,本科,全职
数据挖掘工程师,20,40,深圳,3,5,本科,全职
中级数据挖掘工程师,18,30,北京,3,5,本科,全职
机器学习/数据挖掘工程师/...,20,40,杭州,3,5,硕士,全职
数据挖掘开发工程师,15,30,北京,0,0,,全职
数据挖掘工程师（珠海急聘）,7,14,广州,1,3,本科,全职
数据挖掘,8,15,上海,1,3,本科,全职
数据挖掘工程师,12,24,上海,1,3,本科,全职
资深数据挖掘工程师,30,50,北京,3,5,本科,全职
数据挖掘工程师,25,40,上海,3,5,本科,全职
数据挖掘工程师（西安）,15,30,西安,3,5,本科,全职
资深数据挖掘工程师,15,30,杭州,3,5,本科,全职
数据挖掘工程师（互金方向）,20,40,杭州,3,5,本科,全职
高级数据产品经理-数据挖...,20,40,北京,3,5,本科,全职
数据挖掘工程师,20,35,杭州,3,5,本科,全职
数据挖掘工程师,20,40,南京,3,5,硕士,全职
数据挖掘工程师,18,28,上海,3,5,硕士,全职
高级数据挖掘工程师,25,40,上海,5,10,本科,全职
智能语音-数据挖掘研究员,20,40,北京,3,5,本科,全职
数据挖掘工程师,15,25,上海,3,5,本科,全职
数据挖掘/算法实习生,4,6,北京,0,0,本科,实习
资深数据挖掘工程师（KKL）,20,32,杭州,3,5,本科,全职
高级数据挖掘工程师,25,50,成都,3,5,本科,全职
自然语言处理/数据挖掘工程师,20,40,北京,3,5,硕士,全职
数据挖掘工程师,15,25,北京,3,5,本科,全职
数据挖掘,9,15,北京,0,0,硕士,全职
高级数据挖掘,15,30,上海,3,5,本科,全职
大数据分析师/数据挖掘工程师,10,20,长沙,1,3,本科,全职
数据挖掘岗,30,60,深圳,3,5,本科,全职
数据挖掘工程师,20,30,深圳,1,3,本科,全职
高级数据挖掘工程师,20,40,深圳,3,5,本科,全职
数据研究院-数据挖掘工程师,16,32,深圳,3,5,硕士,全职
数据挖掘工程师,10,20,北京,3,5,硕士,全职
数据挖掘专家,25,50,杭州,5,10,本科,全职
数据挖掘工程师,12,22,深圳,0,0,硕士,全职
AI数据挖掘工程师,8,16,武汉,3,5,本科,全职
数据挖掘工程师,15,30,上海,1,3,本科,全职
数据挖掘工程师,18,28,北京,3,5,本科,全职
数据挖掘工程师,10,15,广州,0,0,本科,全职
数据挖掘工程师,25,35,北京,3,5,本科,全职
数据挖掘工程师,20,40,北京,5,10,本科,全职
数据挖掘经理,20,40,北京,3,5,硕士,全职
中级数据挖掘工程师,10,20,南京,1,3,本科,全职
数据挖掘,20,25,广州,1,3,本科,全职
数据挖掘工程师,15,25,北京,0,0,硕士,全职
数据挖掘工程师,16,20,上海,1,3,本科,全职
数据挖掘工程师--北京,20,40,北京,3,5,,全职
高级数据挖掘工程师,18,30,深圳,5,10,本科,全职
数据挖掘工程师,4,6,杭州,0,0,本科,实习
数据挖掘工程师,15,30,广州,1,3,本科,全职
数据挖掘经理,20,30,北京,5,10,本科,全职
数据挖掘,25,50,北京,0,0,本科,全职
数据挖掘工程师,20,40,深圳,3,5,本科,全职
数据挖掘,20,40,北京,0,0,硕士,全职
高级数据挖掘工程师,25,50,北京,3,5,本科,全职
数据挖掘专家,20,35,杭州,3,5,硕士,全职
数据挖掘工程师,20,40,北京,3,5,本科,全职
数据挖掘负责人,40,60,北京,5,10,本科,全职
数据挖掘/算法工程师,15,25,北京,1,3,本科,全职
资深数据挖掘工程师,30,60,北京,3,5,本科,全职
（高级）数据挖掘工程师,25,50,上海,1,3,硕士,全职
